Unique_Author,File_changed,Insertions,Deletions,Issue
Matthias,1,7,9,0
Paul B. Isaac's,2,11,2,0
Robert Szczepanski,2,2,4,0
Yoav Ramon,4,7,4,0
piyushdatta,2,0,0,0
Ian Beauregard,1,0,0,0
Yiwen Li,9,36,21,0
Tarandeep Singh,1,0,0,0
Henry Tan,438,14608,6532,0
PlusPlusUltra,3,99,2,0
Maria Romanenko Vexlard,1,0,0,0
Philip Pham,66,1584,288,0
cfRod,6,50,0,0
Marcos Pereira,1,2,0,0
andreABbauer,1,5,0,0
Poedator,1,0,0,0
Alexey Radul,26,586,825,0
Brent M. Spell,1,9,11,0
Pavel Krajcevski,1,3,2,0
Aavishkar Mishra,12,59,40,0
Marcin Owsiany,1,4,4,0
Chen Cen,16,984,19,0
Ashwin Phadke,6,55,21,0
ml-0,24,384,254,0
Rohan Lekhwani,3,30,7,0
Jung Daun,1,9,8,0
Kasra Bigdeli,1,5,5,0
Jakub Beránek,1,0,0,0
Ryan Sepassi,2,4,0,0
Adrian Garcia Badaracco,4,14,0,0
Jonathan DEKHTIAR,11,125,63,0
Dmitry Tsarkov,2,15,0,0
Chao Xie,34,2115,804,0
Matt Conley,98,5161,867,0
Brian Zhao,1361,22756,12331,1
Rachel Lim,837,29038,10550,3
Kushan Ahmadian,3,0,80,0
Paul Tanger,1,2,0,0
dannyfriar,1,12,0,0
Ahmed S. Taei,13,135,19,0
zmx,1,2,2,0
Zheng Xu,9,190,127,0
Shi Guangyong,1,34,0,0
Leslie-Fang,9,34,15,2
Varghese Jojimon,2,34,2,0
Felix Johnny,17,734,638,2
Jan Jongboom,4,36,29,0
Pierre-Antoine Manzagol,1,0,0,0
Todd Lipcon,5,373,116,0
Gaurav Agrawal,3,49,2,0
jma,1,2,0,0
George Grzegorz Pawelczak,12,75,44,0
Jonathan Hseu,2586,71052,40798,3
Vijay Vasudevan,5548,136869,69932,3
Zhangqiang,3,14,0,0
Michael137,3,8,0,0
amturati,264,9722,6097,5
sboshin,12,382,26,0
Rickard,10,8,0,0
emlaprise2358,2,0,0,0
COTASPAR,1,13,32,0
jedlimlx,9,59,75,0
Vo Van Nghia,302,8797,1026,0
Tomasz Strejczek,11,189,4,0
Oleg Guba,2,2,0,0
Ehsan Toosi,53,2019,1046,0
Yasuhiro Matsumoto,72,945,216,0
Dmitry Zakharov,174,6547,10984,0
Fabio Riccardi,18,627,567,0
Javier Montalt Tordera,3,13,0,0
Basit Ayantunde,16,97,50,0
bigcat-himax,11,71,43,0
Emily Fertig,22,2420,223,0
DarrenZhang01,21,94,44,0
Martin Hwasser,2,2,2,0
Eugene Burmako,11,35,0,0
Sharada Shiddibhavi,8,13,44,0
sshiddib,31,334,44,0
anencore94,1,0,93,0
Alexey Ivanov,2,2,0,0
Johan Nordström,2,7,5,0
Kushagra Sharma,1,2,0,0
ngc92,61,631,225,0
danielyou0230,25,1536,226,0
Jongbin Park,1,7,7,0
Jinjing Zhou,2,126,122,0
Suharsh Sivakumar,1088,32368,15104,1
ShuXiang Gao,1,0,0,0
Peter Sobot,2,18,0,0
Maderator,1,0,0,0
Thibaut Goetghebuer,1,0,0,0
nyagato_00,1,4,4,0
bzhao,4,6,15,0
Amir Yazdanbakhsh,1,0,34,0
Yong Wu,2,0,0,0
Eduard Feicho,1,2,2,0
John Poole,2,0,2,0
Ongun Kanat,1,0,0,0
Leicong Li,1,8,8,0
SiCong Li,13,266,97,0
retonym,17,234,29,0
levinxo,1,5,0,0
Kamil Rakoczy,32,448,15,0
drebain,9,41,10,1
Yixing,1,10,9,0
danielknobe,1,0,0,0
VoVAllen,63,1035,382,0
Natasha Kononenko,8,273,22,0
Jonathan Chu,50,499,323,0
Benjamin Chetioui,1,4,5,0
Stephan Hoyer,49,6812,114,0
Uday Bondhugula,1281,34716,15497,0
Steven Clarkson,1,83,0,0
Kai Katsumata,1,0,0,0
Katherine Tian,265,23342,21843,0
markf,1,29,6,0
Evgeniy Polyakov,34,267,145,0
Xingyu Long,121,3314,1282,0
PiyushDatta,20,138,94,0
Aniket Kumar Singh,1,2,2,0
Ilya Persky,67,649,395,1
Yunmo Koo,1,2,2,0
Pulkit Bhuwalka,19,392,266,0
Steven Hickson,5,24,3,0
Josip Djolonga,15,694,33,0
codeadmin_peritiae,4,33,16,1
HarisWang,1,0,0,0
Denis Vnukov,19,283,71,0
Gmc2,1,7,10,0
Hideto Ueno,1,2,0,0
Yixing Fu,52,1699,619,0
Mikhail Startsev,10,254,254,0
jerryyin,180,1912,1432,0
Daniel Nguyen,290,3698,3614,0
Biagio Montaruli,14,33,36,0
acxz,2,0,0,0
Kedar Sovani,1,2,0,0
Christian,1,0,0,0
Paul Wankadia,3,67,19,0
Abhineet Choudhary,28,427,415,0
Myung-Hyun Kim,1,0,0,0
Sandeep Giri,1,0,0,0
Steve Chien,2,0,0,0
Alexandre Passos,2547,56757,36543,18
Balint Cristian,13,304,79,0
Jan Pfeiffer,3,442,7,0
Anthony Platanios,59,618,354,0
Krzysztof Laskowski,2,23,15,0
HyoukJoong Lee,422,8636,1892,0
Lakshay Tokas,10,203,198,0
Shawn Presser,4,14,8,0
Steenu Johnson,33,408,172,0
Terry Huang,6,85,2,0
Tamas Nyiri,22,453,368,0
Souradeep Nanda,6,93,54,0
bbbboom,10,311,293,0
Andy Lou,2,9,8,0
Cheng CHEN,4,0,0,0
Amy Skerry-Ryan,30,510,99,0
Alexandre Lissy,1,5,2,0
daria,29,484,448,0
Taré Gaskin,141,730,479,0
Karmel Allison,386,9307,4090,0
tg-at-google,100,153,336,0
Benoit Jacob,989,16218,42182,0
Niranjan Hasabnis,292,18104,7754,4
Gabriel Rasskin,29,483,100,1
Alan Anderson,1,0,0,0
Hemal Mamtora,1,2,2,0
Hubert Eichner,1,6,6,0
Vividha,1,0,0,0
Haifeng Jin,50,1093,1069,0
Pablo Samuel Castro,2,2,0,0
Hannes Achleitner,10,10,8,0
Jonah Kohn,9,11,6,0
abhichou4,33,579,377,0
Sayed Hadi Hashemi,9,158,25,0
Ty Mick,1,3,3,0
Fausto Morales,4,11,2,0
redwrasse,1,0,0,0
R. Alex hofer,2,33,11,0
Koki Ibukuro,19,242,65,0
Jakob Buchgraber,163,1035,20692,1
Benjamin Peterson,6,136,126,0
902449@58880@bigcat_chen@ASIC,47,3105,2300,0
bubblebooy,3,5,5,0
Prasad Nikam,14,1398,677,0
Marcel Hlopko,14,55,68,0
CuiYifeng,23,1066,406,0
tenglu,13,138,83,0
Zachary Deane-Mayer,1,0,0,0
Tare Gaskin,275,729,703,0
Toby Boyd,73,2886,1610,0
Aart Bik,35,1117,217,0
rahul-kamat,76,1601,617,0
bzhaoopenstack,3,0,0,0
Martin Wicke,4635,104056,89891,2
ZhuBaohe,1,3,3,0
Gaurav Singh,32,38,28,0
Vladimir Menshakov,4,137,0,0
aaa.jq,3,25,5,0
Vishal Subbiah,9,31,26,0
MichelBr,1,0,0,0
ANSHUMAN TRIPATHY,120,2402,1135,0
Harirai,1,4,4,0
qhduan,2,6,6,0
Torsten Rudolf,2,0,0,0
XingyuLong,326,8601,2137,0
Rishit Dagli,8,0,0,0
Davide Libenzi,238,6858,2088,0
